run_id,t,x_m,segment,v_mps,a_mps2,limit_mps,power_w,energy_kwh,regen_kwh,event
W6_vector_01,259.60826075122486,3076.1423261261907,3,18.203592814371255,0.5999999999999964,20.0,2034159.2095095431,8.606332990184816,-0.0,ACCEL
W6_vector_01,259.807861549628,3079.7877299293627,3,18.323353293413174,0.6000000000000035,20.0,2047655.7614306447,8.719864580417134,-0.0,ACCEL
W6_vector_01,260.0074623480312,3083.457038019769,3,18.44311377245509,0.5999999999999964,20.0,2061154.1200005119,8.83414458263495,-0.0,ACCEL
W6_vector_01,260.2070631464344,3087.150250397409,3,18.562874251497004,0.5999999999999964,20.0,2074654.2914028396,8.949173097350123,-0.0,ACCEL
W6_vector_01,260.4066639448376,3090.8673670622825,3,18.682634730538922,0.6000000000000142,20.0,2088156.2818212882,9.064950225417396,-0.0,ACCEL
W6_vector_01,260.6062647432408,3094.6083880143906,3,18.802395209580837,0.5999999999999858,20.0,2101660.097439266,9.181476068034344,-0.0,ACCEL
W6_vector_01,260.805865541644,3098.373313253732,3,18.922155688622755,0.6000000000000142,20.0,2115165.744440745,9.298750726741417,-0.0,ACCEL
W6_vector_01,261.0054663400472,3102.1621427803075,3,19.04191616766467,0.5999999999999964,20.0,2128673.2290089997,9.416774303421892,-0.0,ACCEL
W6_vector_01,261.2050671384504,3105.974876594117,3,19.161676646706585,0.5999999999999964,20.0,2142182.5573278717,9.535546900301902,-0.0,ACCEL
W6_vector_01,261.40466793685357,3109.8115146951604,3,19.281437125748504,0.6000000000000035,20.0,2155693.73558095,9.65506861995044,-0.0,ACCEL
W6_vector_01,261.60426873525677,3113.6720570834377,3,19.401197604790422,0.6000000000000035,20.0,2169206.7699518083,9.775339565279326,-0.0,ACCEL
W6_vector_01,261.80386953365996,3117.556503758949,3,19.520958083832333,0.5999999999999893,20.0,2182721.666624045,9.896359839543248,-0.0,ACCEL
W6_vector_01,262.00347033206316,3121.4648547216943,3,19.64071856287425,0.6000000000000035,20.0,2196238.4317814354,10.018129546339736,-0.0,ACCEL
W6_vector_01,262.20307113046636,3125.397109971673,3,19.760479041916167,0.6000000000000071,20.0,2209757.0716074645,10.140648789609168,-0.0,ACCEL
W6_vector_01,262.40267192886955,3129.3532695088866,3,19.88023952095808,0.5999999999999858,20.0,2223277.592285706,10.263917673634769,-0.0,ACCEL
W6_vector_01,262.60227272727275,3133.3333333333335,3,20.0,0.6000000000000035,20.0,2236800.000000013,10.387936303042622,-0.0,CRUISE
W6_vector_01,262.8024361259655,3137.3366013071895,3,20.0,0.0,20.0,76800.0,10.392206455548068,-0.0,CRUISE
W6_vector_01,263.00259952465836,3141.3398692810456,3,20.0,0.0,20.0,76800.0,10.396476608053517,-0.0,CRUISE
W6_vector_01,263.2027629233512,3145.343137254902,3,20.0,0.0,20.0,76800.0,10.400746760558963,-0.0,CRUISE
W6_vector_01,263.402926322044,3149.346405228758,3,20.0,0.0,20.0,76800.0,10.40501691306441,-0.0,CRUISE
W6_vector_01,263.60308972073676,3153.349673202614,3,20.0,0.0,20.0,76800.0,10.409287065569856,-0.0,CRUISE
W6_vector_01,263.8032531194296,3157.3529411764707,3,20.0,0.0,20.0,76800.0,10.413557218075304,-0.0,CRUISE
W6_vector_01,264.00341651812244,3161.356209150327,3,20.0,0.0,20.0,76800.0,10.417827370580751,-0.0,CRUISE
W6_vector_01,264.2035799168152,3165.3594771241833,3,20.0,0.0,20.0,76800.0,10.422097523086197,-0.0,CRUISE
W6_vector_01,264.40374331550805,3169.3627450980393,3,20.0,0.0,20.0,76800.0,10.426367675591646,-0.0,CRUISE
W6_vector_01,264.60390671420083,3173.3660130718954,3,20.0,0.0,20.0,76800.0,10.43063782809709,-0.0,CRUISE
W6_vector_01,264.80407011289367,3177.3692810457514,3,20.0,0.0,20.0,76800.0,10.434907980602539,-0.0,CRUISE
W6_vector_01,265.00423351158645,3181.372549019608,3,20.0,0.0,20.0,76800.0,10.439178133107985,-0.0,CRUISE
W6_vector_01,265.2043969102793,3185.375816993464,3,20.0,0.0,20.0,76800.0,10.443448285613433,-0.0,CRUISE
W6_vector_01,265.40456030897207,3189.3790849673205,3,20.0,0.0,20.0,76800.0,10.447718438118878,-0.0,CRUISE
W6_vector_01,265.6047237076649,3193.3823529411766,3,20.0,0.0,20.0,76800.0,10.451988590624326,-0.0,CRUISE
W6_vector_01,265.8048871063577,3197.3856209150326,3,20.0,0.0,20.0,76800.0,10.456258743129773,-0.0,CRUISE
W6_vector_01,266.0050505050505,3201.3888888888887,3,20.0,0.0,20.0,76800.0,10.46052889563522,-0.0,CRUISE
W6_vector_01,266.20521390374336,3205.392156862745,3,20.0,0.0,20.0,76800.0,10.464799048140668,-0.0,CRUISE
W6_vector_01,266.40537730243614,3209.3954248366013,3,20.0,0.0,20.0,76800.0,10.469069200646114,-0.0,CRUISE
W6_vector_01,266.605540701129,3213.3986928104578,3,20.0,0.0,20.0,76800.0,10.47333935315156,-0.0,CRUISE
W6_vector_01,266.80570409982175,3217.401960784314,3,20.0,0.0,20.0,76800.0,10.477609505657007,-0.0,CRUISE
W6_vector_01,267.0058674985146,3221.40522875817,3,20.0,0.0,20.0,76800.0,10.481879658162455,-0.0,CRUISE
W6_vector_01,267.20603089720737,3225.408496732026,3,20.0,0.0,20.0,76800.0,10.486149810667902,-0.0,CRUISE
W6_vector_01,267.4061942959002,3229.4117647058824,3,20.0,0.0,20.0,76800.0,10.490419963173348,-0.0,CRUISE
W6_vector_01,267.606357694593,3233.4150326797385,3,20.0,0.0,20.0,76800.0,10.494690115678795,-0.0,CRUISE
W6_vector_01,267.8065210932858,3237.418300653595,3,20.0,0.0,20.0,76800.0,10.498960268184243,-0.0,CRUISE
W6_vector_01,268.0066844919786,3241.421568627451,3,20.0,0.0,20.0,76800.0,10.503230420689688,-0.0,CRUISE
